Lake,Age,Asteraceae,Betulaceae,Boraginaceae,Brassicaceae,Bryaceae,Caprifoliaceae,Caryophyllaceae,Equisetaceae,Ericaceae,Fabaceae,Juncaceae,Orobanchaceae,Papaveraceae,Pinaceae,Plantaginaceae,Poaceae,Polygonaceae,Polytrichaceae,Primulaceae,Ranunculaceae,Rosaceae,Salicaceae,Saxifragaceae
Ilirney,0.1,6.19195046439629,23.8390092879257,0,0.928792569659443,0.309597523219814,0,0.309597523219814,0,24.1486068111455,0,0,0.309597523219814,0,2.78637770897833,17.9566563467492,2.1671826625387,0,2.1671826625387,0.309597523219814,0.928792569659443,7.43034055727554,0.309597523219814,6.81114551083591
Ilirney,1.6,2.24719101123596,21.3483146067416,0,4.49438202247191,0,0,1.12359550561798,0,29.2134831460674,0,0,2.24719101123596,0,1.12359550561798,0,3.37078651685393,0,4.49438202247191,0,1.12359550561798,8.98876404494382,0,6.74157303370786
Ilirney,2.9,9.74358974358974,29.7435897435897,0,1.53846153846154,0,0.512820512820513,0,0,32.3076923076923,0,0,1.02564102564103,0,4.1025641025641,3.58974358974359,1.02564102564103,0,4.1025641025641,0,0,4.61538461538462,1.02564102564103,3.07692307692308
Ilirney,6.3,0.947867298578199,52.60663507109,0,2.8436018957346,0.947867298578199,0,0.947867298578199,0,21.8009478672986,0,0,0.4739336492891,0,0.947867298578199,4.2654028436019,1.8957345971564,0,3.7914691943128,0,0,2.3696682464455,1.4218009478673,1.8957345971564
Ilirney,9.2,3.03030303030303,65.1515151515152,0,1.51515151515152,0,0,1.51515151515152,0,4.54545454545455,0,0,0,0,0,3.03030303030303,4.54545454545455,0,1.51515151515152,0,0,6.06060606060606,3.03030303030303,0
Ilirney,10.2,0,65.4320987654321,0,3.7037037037037,1.23456790123457,0,0,0,11.1111111111111,0,0,0,0,0,0,9.8765432098765409,0,1.23456790123457,0,0,2.46913580246914,1.23456790123457,0
Ilirney,11.6,1.55038759689922,58.1395348837209,0,3.10077519379845,0,0,0,0,3.10077519379845,0.775193798449612,0,0,0,0,0,0.775193798449612,0,0,0,0.775193798449612,3.10077519379845,0.775193798449612,0.775193798449612
Ilirney,13.2,5.07246376811594,48.5507246376812,0,3.6231884057971,0,0,0,0,18.8405797101449,0,0,0,0,0,0,1.44927536231884,0,0,0,0,5.79710144927536,0.72463768115942,3.6231884057971
Ilirney,15.9,6.74157303370786,46.6292134831461,0,13.4831460674157,0,0,0.561797752808989,0,1.68539325842697,0,0,0,0,0,0,5.0561797752809,0,1.12359550561798,0,0.561797752808989,20.2247191011236,0,2.24719101123596
Ilirney,19.9,7.40740740740741,11.1111111111111,0,14.8148148148148,0,0,3.7037037037037,0,2.46913580246914,1.23456790123457,0,1.23456790123457,0,0,0,4.9382716049382704,0,3.7037037037037,0,0,35.8024691358025,1.23456790123457,12.3456790123457
Ilirney,28,6.27153687112336,0.482425913163336,0.827015851137147,10.6822880771881,0,0,1.1026878015162,0,0.0689179875947622,0.0689179875947622,0,0.137835975189524,0.0689179875947622,0,0,0.895933838731909,0,0.827015851137147,0.275671950379049,0.0689179875947622,9.71743625086147,0.137835975189524,67.0572019297037
Ilirney,31,0,14.2857142857143,0,42.8571428571429,0,0,0,0,0,0,0,0,0,28.5714285714286,7.14285714285714,0,0,0,0,0,0,0,0
Ilirney,35.1,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ilirney,42,10.6960950764007,4.41426146010187,0.33955857385399,29.3718166383701,0,0.33955857385399,1.18845500848896,0,1.01867572156197,0.169779286926995,0,0.848896434634975,0.509337860780985,0,0.169779286926995,1.01867572156197,0,1.86757215619694,0.169779286926995,0,33.106960950764,0.33955857385399,10.5263157894737
