"PC1","PC2"
-0.288184074223945,-0.33033045662667
-0.332391891882407,-0.214105156905657
-0.331533287880845,-0.351647843810056
-0.40879707553633,-0.263130254070864
-0.283028233751292,-0.0985526751189257
-0.421595052750173,0.00818042185135919
-0.361180226295079,-0.068037477029709
-0.31877897230948,-0.184276346652932
-0.167130634476167,-0.0538399685517714
0.12679162897844,0.260957383372128
0.3078768279569,0.249935130253938
0.00292866600033612,0.39088659529327
0.0501910948213698,0.44776892418525
0.286564678570936,-0.219737441387573
0.312210793992707,-0.0749633670833317
0.304643373494707,-0.0976445936108923
-0.331479013743335,-0.16578889176857
0.100278068792157,-0.280508760618901
-0.302729117794965,-0.0455219686662016
-0.169833775028588,-0.152261917709439
-0.215746520541757,-0.00706458334446092
-0.320609939101419,-0.00868007335927871
-0.273958007699685,-0.231621315070949
-0.26347552078334,-0.115466607374111
-0.234970605446154,-0.126445845995212
-0.153320138622544,-0.227226404552936
-0.434657579496544,-0.104576160500518
-0.347535373845131,-0.0357888060224501
-0.382414322035104,-0.0820769902004055
-0.130286615275324,-0.24544501709197
-0.344428918005047,-0.104779867973019
-0.186447233754847,-0.265424115321778
-0.214333671821893,-0.218307545763035
-0.117340836397718,-0.137204144985027
0.200560052455321,-0.110735357701981
0.214838020987198,0.182765176455634
0.276597273184276,0.47189613806172
0.281620031635401,0.64700282628643
0.274550282150553,0.543048486352823
0.319069186249353,0.484138133941689
0.339401898044084,0.424770852423044
0.262455168766034,0.319472688364041
0.245663876964811,0.112295957475441
0.0985637353152659,-0.513060139595965
0.114572396981118,-0.593256487085004
0.0857138065454689,-0.695675986424422
0.0724235966739076,-0.722702554027509
0.0240108426962738,-0.724314755764554
-0.057158913189754,-0.798937546113714
-0.0877623449951948,-0.724551239386186
0.284039572136221,-0.525867721764748
0.0970695502421033,-0.674089455272238
0.223136105046276,0.555523627805467
0.261618815167623,0.0915528955812919
0.245404157940217,0.488270069565169
0.265863865617567,0.604603209933449
0.240150923004418,0.542587667392756
0.271845879340899,0.510844338501912
0.295370875710249,0.531822181561532
0.26785025964405,0.426230737277501
0.242322162328269,0.405664913904198
0.216466435092335,0.23401919376622
0.248763384790234,0.0225420664926672
0.209130098269862,0.0716931413250019
0.231054424161328,-0.00725764289321197
0.240037626902854,0.102274255147571
0.199300742576001,-0.12012920250716
0.327331713864668,0.196672872603156
0.257325328306309,0.464352601399997
-0.434696063360315,0.419847737545396
-0.600673820710585,0.465722221961404
-0.517725263701792,0.470502338898251
-0.627536415409487,0.487019814962126
-0.730793566297293,0.400457046426561
-0.718984312520351,0.385006051824548
-0.700738441885562,0.395462662795914
-0.799083282320337,0.436425619647935
-0.798262207969845,0.434768853967427
-0.795083482008576,0.351982525417962
-0.75937380177567,0.320036665410241
-0.626097624260899,0.256784584534342
-0.61985675483585,0.297639129534098
-0.519732065686764,0.25303397995311
-0.604456358142095,0.237557672800771
-0.493477123572016,0.140123064298978
0.245794037485972,0.258946749983829
-0.456977228357541,0.24427777333434
0.304920455085351,0.350579013035588
-0.0230912989232197,0.0905009662830489
0.333492593795924,0.258866324747316
0.219459908697865,0.325366953914943
0.302288662513643,0.345217025425458
0.295973233686305,0.348883917422714
0.261580313327083,0.0475440024806454
0.175708134043753,-0.0445230815876141
0.133084282901433,0.0975450469398794
0.187386247028332,0.138114490703729
0.126452986278282,-0.00611535541391424
0.171919075641844,0.098199043416488
0.155230890930795,0.0775214916768537
0.163510391329441,0.0848850397866918
0.17507603052734,0.0889414751246479
0.189011275973806,0.139374910112163
0.157954717904847,0.13836625022039
0.171429649845384,0.181633952094202
0.1842249111758,0.104306183910969
0.179907891975538,0.145669552859486
0.187775929467113,0.193268740312375
0.158411539348136,0.119746506634088
0.170217957470313,0.0962582011082751
0.162129187145251,0.151203081277109
-0.390927791611152,-0.499915922597174
-0.459131227122977,-0.395547240283021
-0.481806779247748,-0.202112370544906
-0.377317663670542,0.046171876929741
-0.325770918584846,-0.308365118789342
-0.243549019084226,-0.34788150629209
-0.156122876795238,-0.234443316799613
-0.0450167334283288,0.701510246753834
0.265930534679624,0.329445006616009
0.375406512316711,-0.0545293785420584
0.350658139027771,-0.0255645123282866
0.286003846288335,-0.163431330993519
0.311548514366987,-0.190544213885416
0.191605725740672,-0.367900491400067
0.23014893612315,-0.331934140085101
0.214934431957023,-0.379032592868124
0.183353161430274,-0.402769954100452
0.168090223990398,-0.404717429517621
0.149682224013212,-0.470050255022445
0.174838572488784,-0.394710287987495
0.175163063152688,-0.424194681198817
0.19436463737141,-0.345630494687445
0.153353724549557,-0.484807270243572
0.137924388380926,-0.394821938506917
0.259426574239228,-0.354191652297602
0.160149782176241,-0.480278783530177
0.10966016409943,-0.323482792753149
-0.686053681157108,-0.329718570474234
-0.592005122498023,-0.369868727783258
-0.57417612580918,-0.289894281793917
-0.4214111180357,-0.178811482466432
0.00199578163360213,0.0176145834075616
0.22910390062287,0.283960671734731
0.321692041493848,0.437140284390482
0.332571894064411,-0.132797250521052
0.296096599609067,-0.153384935038749
0.265939634590666,-0.246546092973196
0.267168278367124,-0.0966190466485468
0.286022768827125,-0.418518919585061
0.315068302103165,0.0216145770760731
0.273461271948759,-0.121795548047916
0.432786501677261,0.482959317824393
0.286005486768009,-0.134034077777433
0.263815200487753,-0.1805202888219
0.284947932963272,-0.065505426677847
0.288084482396006,-0.0861904297710507
0.243739384670652,-0.13949566425441
0.237738486284908,-0.0712978538188383
0.321107372047269,-0.125541635603036
0.282900063541487,-0.0967066840756304
