species,tas_score,habitat_label,total_n,r_terr,r_aqua,r_anim,r_plant,tas_score_raw
Leptotrichia wadei,0.8805185046026677,Terrestrial Specialist,9999,1,0,0,0,0.8805185046026677
Porphyromonas somerae,0.8820738732633007,Terrestrial Specialist,9999,1,0,0,0,0.8820738732633007
Anaerococcus nagyae,0.818092749836708,Terrestrial Specialist,9999,1,0,0,0,0.818092749836708
Adlercreutzia caecimuris,0.9347181008902078,Terrestrial Specialist,9999,1,0,0,0,0.9347181008902078
Bifidobacterium asteroides,0.8607064458191978,Terrestrial Specialist,9999,1,0,0,0,0.8607064458191978
Sphingomonas faeni,0.4663556851311953,Mostly Terrestrial,9999,1,0,0,0,0.4663556851311953
Sphingomonas aerolata,0.4663556851311953,Mostly Terrestrial,9999,1,0,0,0,0.4663556851311953
Dielma fastidiosa,0.9263987983477281,Terrestrial Specialist,9999,1,0,0,0,0.9263987983477281
Porphyromonas gingivalis,0.8147117296222666,Terrestrial Specialist,9999,1,0,0,0,0.8147117296222666
Holdemania filiformis,0.918101286979776,Terrestrial Specialist,9999,1,0,0,0,0.918101286979776
Romboutsia sedimentorum,0.7531019318360296,Mostly Terrestrial,9999,1,0,0,0,0.7531019318360296
Corynebacterium efficiens,0.4938788659793814,Mostly Terrestrial,9999,1,0,0,0,0.4938788659793814
Mobiluncus holmesii,0.9080206033848418,Terrestrial Specialist,9999,1,0,0,0,0.9080206033848418
Thermomonas carbonis,0.25366427730822727,Mostly Terrestrial,9999,1,0,0,0,0.25366427730822727
Mycobacterium decipiens,0.4802948402948403,Mostly Terrestrial,9999,1,0,0,0,0.4802948402948403
Globicatella sulfidifaciens,0.6543837357052096,Mostly Terrestrial,9999,1,0,0,0,0.6543837357052096
Mogibacterium diversum,0.9073419709462113,Terrestrial Specialist,9999,1,0,0,0,0.9073419709462113
Peptidiphaga gingivicola,0.8533384793516018,Terrestrial Specialist,9999,1,0,0,0,0.8533384793516018
Flavobacterium kayseriense,0.025029541304114354,Generalist,9999,1,0,0,0,0.025029541304114354
Alistipes indistinctus,0.90505086560771,Terrestrial Specialist,9999,1,0,0,0,0.90505086560771
Yersinia similis,0.313459531971978,Mostly Terrestrial,9999,1,0,0,0,0.313459531971978
Yersinia pseudotuberculosis,0.313459531971978,Mostly Terrestrial,9999,1,0,0,0,0.313459531971978
Yersinia pestis,0.313459531971978,Mostly Terrestrial,9999,1,0,0,0,0.313459531971978
Yersinia wautersii,0.313459531971978,Mostly Terrestrial,9999,1,0,0,0,0.313459531971978
Dolosigranulum pigrum,0.6804904435629283,Mostly Terrestrial,9999,1,0,0,0,0.6804904435629283
Ralstonia insidiosa,0.3536196319018404,Mostly Terrestrial,9999,1,0,0,0,0.3536196319018404
Cetobacterium somerae,-0.30682261208576994,Mostly Aquatic,9999,0,1,0,0,-0.30682261208576994
Aurantimicrobium minutum,-0.6166729394053443,Mostly Aquatic,9999,0,1,0,0,-0.6166729394053443
Parvimonas micra,0.9260811583158698,Terrestrial Specialist,9999,1,0,0,0,0.9260811583158698
Streptococcus danieliae,0.9239669421487603,Terrestrial Specialist,9999,1,0,0,0,0.9239669421487603
Prevotella micans,0.9298953936502111,Terrestrial Specialist,9999,1,0,0,0,0.9298953936502111
Fusobacterium mortiferum,0.6382274089260369,Mostly Terrestrial,9999,1,0,0,0,0.6382274089260369
Aerococcus christensenii,0.8493223024115473,Terrestrial Specialist,9999,1,0,0,0,0.8493223024115473
Kineococcus radiotolerans,0.6583805070145212,Mostly Terrestrial,9999,1,0,0,0,0.6583805070145212
Serratia quinivorans,0.3083874252259132,Mostly Terrestrial,9999,1,0,0,0,0.3083874252259132
Serratia grimesii,0.3083874252259132,Mostly Terrestrial,9999,1,0,0,0,0.3083874252259132
Pediococcus pentosaceus,0.639736684619988,Mostly Terrestrial,9999,1,0,0,0,0.639736684619988
Azospira oryzae,-0.20034136974610617,Mostly Aquatic,9999,0,1,0,0,-0.20034136974610617
Abyssicoccus albus,0.6526580459770114,Mostly Terrestrial,9999,1,0,0,0,0.6526580459770114
Bacteroides neonati,0.30976380321949754,Mostly Terrestrial,9999,1,0,0,0,0.30976380321949754
Modestobacter roseus,0.7869379014989293,Mostly Terrestrial,9999,1,0,0,0,0.7869379014989293
Modestobacter altitudinis,0.7869379014989293,Mostly Terrestrial,9999,1,0,0,0,0.7869379014989293
Modestobacter italicus,0.7869379014989293,Mostly Terrestrial,9999,1,0,0,0,0.7869379014989293
Modestobacter marinus,0.7869379014989293,Mostly Terrestrial,9999,1,0,0,0,0.7869379014989293
Modestobacter caceresii,0.7869379014989293,Mostly Terrestrial,9999,1,0,0,0,0.7869379014989293
Haemophilus influenzae,0.8983771251931993,Terrestrial Specialist,9999,1,0,0,0,0.8983771251931993
Haemophilus aegyptius,0.8983771251931993,Terrestrial Specialist,9999,1,0,0,0,0.8983771251931993
Neisseria polysaccharea,0.6215718755751887,Mostly Terrestrial,9999,1,0,0,0,0.6215718755751887
Blautia hydrogenotrophica,0.8656031904287139,Terrestrial Specialist,9999,1,0,0,0,0.8656031904287139
Prescottella equi,0.6814511669063157,Mostly Terrestrial,9999,1,0,0,0,0.6814511669063157
Leuconostoc lactis,0.401077752117013,Mostly Terrestrial,9999,1,0,0,0,0.401077752117013
Mesorhizobium qingshengii,0.5866419294990723,Mostly Terrestrial,9999,1,0,0,0,0.5866419294990723
Mesorhizobium kowhaii,0.5866419294990723,Mostly Terrestrial,9999,1,0,0,0,0.5866419294990723
Mesorhizobium sophorae,0.5866419294990723,Mostly Terrestrial,9999,1,0,0,0,0.5866419294990723
Mesorhizobium loti,0.6369064817490129,Mostly Terrestrial,9999,1,0,0,0,0.6369064817490129
Mesorhizobium shangrilense,0.5866419294990723,Mostly Terrestrial,9999,1,0,0,0,0.5866419294990723
Mesorhizobium sangaii,0.5866419294990723,Mostly Terrestrial,9999,1,0,0,0,0.5866419294990723
Mesorhizobium australicum,0.5866419294990723,Mostly Terrestrial,9999,1,0,0,0,0.5866419294990723
Rhizobium sophorae,0.8493150684931506,Terrestrial Specialist,9999,1,0,0,0,0.8493150684931506
Mesorhizobium cantuariense,0.5866419294990723,Mostly Terrestrial,9999,1,0,0,0,0.5866419294990723
Mesorhizobium norvegicum,0.5866419294990723,Mostly Terrestrial,9999,1,0,0,0,0.5866419294990723
Mesorhizobium waitakense,0.5866419294990723,Mostly Terrestrial,9999,1,0,0,0,0.5866419294990723
Mesorhizobium calcicola,0.5866419294990723,Mostly Terrestrial,9999,1,0,0,0,0.5866419294990723
Cupriavidus necator,0.5561919810389098,Mostly Terrestrial,9999,1,0,0,0,0.5561919810389098
Cupriavidus lacunae,0.5561919810389098,Mostly Terrestrial,9999,1,0,0,0,0.5561919810389098
Actinomyces gerencseriae,0.88558524651863,Terrestrial Specialist,9999,1,0,0,0,0.88558524651863
Paraburkholderia fungorum,0.6548523206751055,Mostly Terrestrial,9999,1,0,0,0,0.6548523206751055
Cardiobacterium hominis,0.7897336390897866,Mostly Terrestrial,9999,1,0,0,0,0.7897336390897866
Corynebacterium ulcerans,0.631383158606696,Mostly Terrestrial,9999,1,0,0,0,0.631383158606696
Corynebacterium pseudotuberculosis,0.631383158606696,Mostly Terrestrial,9999,1,0,0,0,0.631383158606696
Corynebacterium silvaticum,0.631383158606696,Mostly Terrestrial,9999,1,0,0,0,0.631383158606696
Cutibacterium avidum,0.6751935375294513,Mostly Terrestrial,9999,1,0,0,0,0.6751935375294513
Neisseria canis,0.4398277717976319,Mostly Terrestrial,9999,1,0,0,0,0.4398277717976319
Levilactobacillus angrenensis,0.537963843958135,Mostly Terrestrial,9999,1,0,0,0,0.537963843958135
Megasphaera elsdenii,0.7352139765988139,Mostly Terrestrial,9999,1,0,0,0,0.7352139765988139
Clostridium saudiense,0.8085252664145754,Terrestrial Specialist,9999,1,0,0,0,0.8085252664145754
Rosenbergiella epipactidis,0.6533414708574917,Mostly Terrestrial,9999,1,0,0,0,0.6533414708574917
Rosenbergiella australiborealis,0.6533414708574917,Mostly Terrestrial,9999,1,0,0,0,0.6533414708574917
Rosenbergiella nectarea,0.6533414708574917,Mostly Terrestrial,9999,1,0,0,0,0.6533414708574917
Rosenbergiella collisarenosi,0.6533414708574917,Mostly Terrestrial,9999,1,0,0,0,0.6533414708574917
Jeotgalibaca arthritidis,0.19899690219796426,Mostly Terrestrial,9999,1,0,0,0,0.19899690219796426
Bradyrhizobium murdochi,0.5970825941257639,Mostly Terrestrial,9999,1,0,0,0,0.5970825941257639
Bradyrhizobium icense,0.5970825941257639,Mostly Terrestrial,9999,1,0,0,0,0.5970825941257639
Bradyrhizobium retamae,0.5970825941257639,Mostly Terrestrial,9999,1,0,0,0,0.5970825941257639
Bradyrhizobium erythrophlei,0.5970825941257639,Mostly Terrestrial,9999,1,0,0,0,0.5970825941257639
Bradyrhizobium viridifuturi,0.5970825941257639,Mostly Terrestrial,9999,1,0,0,0,0.5970825941257639
Bradyrhizobium paxllaeri,0.5970825941257639,Mostly Terrestrial,9999,1,0,0,0,0.5970825941257639
Bradyrhizobium ivorense,0.5970825941257639,Mostly Terrestrial,9999,1,0,0,0,0.5970825941257639
Bradyrhizobium uaiense,0.5970825941257639,Mostly Terrestrial,9999,1,0,0,0,0.5970825941257639
Bradyrhizobium archetypum,0.5970825941257639,Mostly Terrestrial,9999,1,0,0,0,0.5970825941257639
Bradyrhizobium australiense,0.5970825941257639,Mostly Terrestrial,9999,1,0,0,0,0.5970825941257639
Bradyrhizobium jicamae,0.5970825941257639,Mostly Terrestrial,9999,1,0,0,0,0.5970825941257639
Bradyrhizobium pachyrhizi,0.5970825941257639,Mostly Terrestrial,9999,1,0,0,0,0.5970825941257639
Bradyrhizobium elkanii,0.5970825941257639,Mostly Terrestrial,9999,1,0,0,0,0.5970825941257639
Bradyrhizobium tropiciagri,0.5970825941257639,Mostly Terrestrial,9999,1,0,0,0,0.5970825941257639
Rhizobium tropici,0.5970825941257639,Mostly Terrestrial,9999,1,0,0,0,0.5970825941257639
Bradyrhizobium embrapense,0.5970825941257639,Mostly Terrestrial,9999,1,0,0,0,0.5970825941257639
Bradyrhizobium algeriense,0.5970825941257639,Mostly Terrestrial,9999,1,0,0,0,0.5970825941257639
Bradyrhizobium lablabi,0.5970825941257639,Mostly Terrestrial,9999,1,0,0,0,0.5970825941257639
Bradyrhizobium namibiense,0.5970825941257639,Mostly Terrestrial,9999,1,0,0,0,0.5970825941257639
Butyricicoccus pullicaecorum,0.8980673849837525,Terrestrial Specialist,9999,1,0,0,0,0.8980673849837525
Faecalitalea cylindroides,0.5558277913895695,Mostly Terrestrial,9999,1,0,0,0,0.5558277913895695
Rhodococcus erythropolis,0.34786775275515097,Mostly Terrestrial,9999,1,0,0,0,0.34786775275515097
Rhodococcus qingshengii,0.34786775275515097,Mostly Terrestrial,9999,1,0,0,0,0.34786775275515097
