"Number","Age","Core","Lake","Library number","Extraction number","Depth","Concentration before Genejet","Concentration after Genejet","Library concentration","Average read length of sample","Total concentration","Concentration of pool","Dilution concentration before sequencing 2","Molecular weight nucleotide","DNA","Dry Bulk Density","Water content","TOC","C_N","Sediment Rate","PC1","PC2","Pann","TJul","sumcount_all.x","super_na_sumcount.x","sumcount_exna.x","Bacteria_sumcount_all","Bacteria_sumcount_habitat","animal_associated.x","aquatic.x","aquatic/terrestrial.x","plant_associated","terrestrial.x","NA.x","ter_aqu_sumcount.x","Bacteria_na_count","Bacteria_unclassfied_count","Bacteria_aquatic_percentage","Bacteria_terrestrial_percentage","Bacteria_unclassfied_percentage","Bacteria_percentage","sumcount_all.y","super_na_sumcount.y","sumcount_exna.y","Archaea_sumcount_all","Archaea_sumcount_habitat","animal_associated.y","aquatic.y","aquatic/terrestrial.y","terrestrial.y","NA.y","ter_aqu_sumcount.y","Archaea_na_count","Archaea_unclassfied_count","Archaea_aquatic_percentage","Archaea_terrestrial_percentage","Archaea_unclassfied_percentage","Archaea_percentage","sumcount_all.x.x","super_na_sumcount.x.x","sumcount_exna.x.x","Fungi_sumcount_all","Fungi_sumcount_habitat","aquatic.x.x","freshwater_terrestrial.x","terrestrial.x.x","varied.x","ter_aqu_sumcount.x.x","Fungi_na_count","Fungi_unclassfied_count","Fungi_aquatic_percentage","Fungi_terrestrial_percentage","Fungi_unclassfied_percentage","Fungi_percentage","sumcount_all.y.y","super_na_sumcount.y.y","sumcount_exna.y.y","Viridiplantae_sumcount_all","Viridiplantae_sumcount_habitat","aquatic.y.y","freshwater_terrestrial.y","terrestrial.y.y","varied.y","no wood","tree","wood_nowood_aqu_sumcount","Viridiplantae_na_count","Viridiplantae_unclassfied_count","Viridiplantae_aquatic_percentage","Viridiplantae_woody_percentage","Viridiplantae_non_woody_percentage","Viridiplantae_unclassfied_percentage","sumcount_all.x.x.x","super_na_sumcount.x.x.x","sumcount_exna.x.x.x","Metazoa_sumcount_all","Metazoa_sumcount_habitat","aquatic","freshwater_terrestrial","terrestrial","varied","ter_aqu_sumcount.y.y","Metazoa_na_count","Metazoa_unclassfied_count","Metazoa_aquatic_percentage","Metazoa_terrestrial_percentage","Metazoa_unclassfied_percentage","Metazoa_percentage","sumcount_all.y.y.y","super_na_sumcount.y.y.y","sumcount_exna.y.y.y","Viruses_sumcount_all","Viruses_na_percentage","Viruses_na_count","Viruses_percentage","Viruses_unclassfied_percentage","sumcount_all","super_na_sumcount","sumcount_exna","Aquatic_algae_sumcount_all","Aquatic_algae_na_percentage","Aquatic_algae_na_count","Aquatic_algae_percentage","Aquatic_algae_unclassfied_percentage","Total_concentration","Final_DNA_in_Pool","Cumulated_Dilution_Factor","Cumulated_Concentration_Factor","Starting_DNA_ng","Starting_DNA_g","Dry_weight","Starting_DNA_wt","ARBULK","BRTOC","Bacteria_aquatic_percentage_Start_wt","Bacteria_terrestrial_percentage_Start_wt","Bacteria_unclassfied_percentage_Start_wt","Archaea_aquatic_percentage_Start_wt","Archaea_terrestrial_percentage_Start_wt","Archaea_unclassfied_percentage_Start_wt","Fungi_aquatic_percentage_Start_wt","Fungi_terrestrial_percentage_Start_wt","Fungi_unclassfied_percentage_Start_wt","Viridiplantae_aquatic_percentage_Start_wt","Viridiplantae_woody_percentage_Start_wt","Viridiplantae_non_woody_percentage_Start_wt","Viridiplantae_unclassfied_percentage_Start_wt","Metazoa_aquatic_percentage_Start_wt","Metazoa_terrestrial_percentage_Start_wt","Metazoa_unclassfied_percentage_Start_wt","Viruses_percentage_Start_wt","Viruses_unclassfied_percentage_Start_wt","Aquatic_algae_percentage_Start_wt","Aquatic_algae_unclassfied_percentage_Start_wt"
1,0.1,"Ilirney Lake (EN18208)","Ilirney Lake","JK097L-3","ESH086",1,3.93042191,53.1,61.3,305,309.2055485,13,2,325,2.768,0.34635,70.02207123,2.205,13.64219083,0.015251179,-0.288184074,-0.330330457,203.5838,13.1423,631361,85887,545474,461111,459111,1269,198044,3965,18,14628,241187,212672,72603.7179718923,321042.717971892,0.313677911686024,0.0231689952341054,0.508493109285959,0.730344446362699,631361,85887,545474,13862,9791,2,2523,47,156,7063,2679,2182.6257420152,13365.6257420152,0.00399612899751489,0.00024708526500686,0.021169546015695,0.0219557432277255,631361,85887,545474,679,50,20,1,28,1,48,106.911187334318,737.911187334318,3.16775980778033e-05,4.43486373089247e-05,0.00116876270047456,0.00107545445474142,631361,85887,545474,31959,1948,155,31,1762,0,487,1263,1905,5032.06868338363,35086.0686833836,0.00024550138510297,0.00200044031861328,0.00077134951319451,0.0555721190941215,631361,85887,545474,14074,2002,1772,35,144,51,1916,2216.0059654539,14374.0059654539,0.00280663518969338,0.00022807870616018,0.0227666991870798,0.0222915257673502,631361,85887,545474,127,0.00023282502924062,19.9966432863894,0.00020115274779405,3.16722814465725e-05,631361,85887,545474,23662,0.0433787861566271,3725.67380663423,0.0374777662858491,0.00590101987077794,309205.5485,198.25,154602.77425,15.5962900176282,1965210.95468342,0.00196521095468342,0.8297890683536,0.00236832591514206,0.00528224584665,0.000116473520918632,0.000742891527253654,5.48717318407347e-05,0.0012042774083931,9.46413586506518e-06,5.85178436365491e-07,5.01363844407628e-05,7.50228764571159e-08,1.05032027039962e-07,2.76801099218532e-06,5.81427292542635e-07,4.73769464826687e-06,1.82680704173077e-06,0.000131612889809969,6.64702685410049e-06,5.40164710491226e-07,5.39189636870048e-05,4.76395265502684e-07,7.50102849415908e-08,8.87595651364139e-05,1.39755382857317e-05
1,1.6,"Ilirney Lake (EN18208)","Ilirney Lake","JK097L-2","ESH087",11.5,1.461880089,19.75,66.2,291,349.986783,13,2,325,2.253,0.369366667,69.34419653,1.563,9.961273197,0.015331291,-0.332391892,-0.214105157,229.1360364,12.65282187,557656,80020,477636,424859,388230,1541,159096,2394,8,20669,204522,179765,71178.0878744483,316272.087874448,0.285294159840475,0.0370640681710589,0.567145494488445,0.761865738017703,557656,80020,477636,19131,15198,0,5970,17,139,9072,6109,3205.08215461146,16227.0821546115,0.0107055245527709,0.00024925760684005,0.0290987313946438,0.0343060955140804,557656,80020,477636,360,45,11,1,32,1,43,60.3120367811471,377.312036781147,1.97254221240335e-05,5.73830461790064e-05,0.00067660356345336,0.00064555926951382,557656,80020,477636,8666,676,150,8,516,2,182,323,655,1451.84475207061,9462.84475207061,0.00026898302896409,0.00057921012236934,0.00032636607514309,0.0169689642935261,557656,80020,477636,9860,1312,1185,26,81,20,1266,1651.87967406142,10245.8796740614,0.00212496592881633,0.00014525083564061,0.0183731183275378,0.0176811511039064,557656,80020,477636,190,0.00039779246120476,31.8313527456054,0.00034071183668785,5.70806245169162e-05,557656,80020,477636,14570,0.0305044008408076,2440.96215528143,0.0261272182133789,0.00437718262742879,349986.783,189.15,174993.3915,45.2841518932542,730940.044549134,0.000730940044549134,0.6906752521791,0.00105829771986617,0.0056628678574771,8.8510624612367e-05,0.00030192615885031,3.9224818834396e-05,0.000600208783649493,1.13296322241688e-05,2.63788756978123e-07,3.07951210859497e-05,2.08753692572624e-08,6.07283469302177e-08,7.16048008456017e-07,2.84664126235393e-07,6.12976751826878e-07,3.45392473165604e-07,1.79582162203291e-05,2.24884659725962e-06,1.53718628167114e-07,1.94442292328646e-05,3.60574559898167e-07,6.04082947747895e-08,2.76503754616648e-05,4.6323623940457e-06
1,10.2,"Ilirney Lake (EN18208)","Ilirney Lake","JK098L-4","ESH093",109,0.866025167,11.7,98.5,326,464.84,13,2,325,2.73,0.462054167,63.83960193,0.8525,6.607832825,0.015063254,-0.421595053,0.008180422,315.2995114,10.3555,407005,65791,341214,304709,146854,1318,45145,2820,5,14998,82568,60143,58752.3074053233,303318.307405323,0.11092001326765,0.0368496701514723,0.745244671208765,0.748661564354246,407005,65791,341214,14249,6972,2,1126,2,459,5383,1585,2747.41352640865,15411.4135264086,0.00276655077947445,0.00112775027333817,0.0378654157231696,0.0350093979189445,407005,65791,341214,307,27,7,0,20,0,27,59.1940453791462,339.194045379146,1.71988059114753e-05,4.9139445461358e-05,0.00083339036468629,0.00075429048783184,407005,65791,341214,4221,443,119,7,316,1,195,120,434,813.869920343245,4600.86992034325,0.00029237970049508,0.00029483667276814,0.00047910959324824,0.0113042098262755,407005,65791,341214,5384,989,863,15,90,21,953,1038.11316065578,5469.11316065578,0.0021203670716576,0.00022112750457611,0.013437459394002,0.0132283387181976,407005,65791,341214,665,0.00194892354944404,128.221629241473,0.00163388656159015,0.00031503698785389,407005,65791,341214,11679,0.0342277866676045,2251.88031264837,0.02869497917716,0.00553280749044451,464840,211.9,232420,113.738034128054,433010.807488998,0.000433010807488998,0.987178867311,0.000438634599896254,0.00696003927927942,5.93343348558571e-05,4.86533556401428e-05,1.61635403232e-05,0.000326890098180472,1.21350489424744e-06,4.94670289928579e-07,1.66090814756378e-05,7.54399134967329e-09,2.15542609990666e-08,3.65553849171564e-07,1.28247852944446e-07,1.29325565994396e-07,2.10154044740899e-07,4.95841755429166e-06,9.30066362109723e-07,9.69941744957991e-08,5.89413462491023e-06,7.16679178218961e-07,1.38186123119812e-07,1.25866107104049e-05,2.42688079987412e-06
1,11.6,"Ilirney Lake (EN18208)","Ilirney Lake","JK098L-5","ESH094",127,0.185048113,2.5,88.1,311,435.81,13,2,325,1.585,0.590234167,57.03401129,0.76455,6.158992242,0.015309229,-0.361180226,-0.068037477,273.942928,9.9226,281499,52139,229360,159595,87631,914,28547,1810,12,8747,47601,37294,36279.7510681897,158580.75106819,0.101410662204839,0.0310729345397319,0.563343923311236,0.566946951854181,281499,52139,229360,40865,28732,0,21524,10,435,6763,21959,9289.58944454133,28195.5894445413,0.0764620833466549,0.00154529856233948,0.100162307661986,0.145169254597707,281499,52139,229360,359,36,11,0,25,0,36,81.6092649110569,404.609264911057,3.9076515369504e-05,8.88102622034181e-05,0.00143733819626733,0.00127531536524108,281499,52139,229360,6616,1048,160,11,877,0,754,117,1031,1503.97464248343,7088.97464248343,0.00056838567810187,0.00041563202711199,0.00267851750805509,0.0251829478700934,281499,52139,229360,10528,1406,1191,35,144,36,1335,2393.26557377049,11586.2655737705,0.00423092089137084,0.00051154711029168,0.0411591713425998,0.0373997776191034,281499,52139,229360,152,0.00066271363794907,34.5532263690269,0.00053996639419678,0.00012274724375229,281499,52139,229360,11245,0.0490277293337984,2556.25677973491,0.0399468559390975,0.00908087339470092,435810,202.15,217905,476.092398737403,92522.9973568561,9.25229973568561e-05,0.6810109210535,0.000135861253463786,0.00903603002622724,6.90849675655204e-05,1.3777779681742e-05,4.22160783536615e-06,7.65366115522716e-05,1.0388234485929e-05,2.09946199655229e-07,1.36081766687828e-05,5.30898435909772e-09,1.20658735434039e-08,1.95278568996257e-07,7.72215906777842e-08,5.64682881831294e-08,3.63906746069062e-07,3.42138686354408e-06,5.74818215607762e-07,6.94994316100054e-08,5.59193661013636e-06,7.33605111438955e-08,1.6676594395411e-08,5.42722991982308e-06,1.23373884195001e-06
1,13.2,"Ilirney Lake (EN18208)","Ilirney Lake","JK097L-6","ESH076",150,0.629903775,8.51,47.7,305,240.6052963,13,2,325,4.806,0.577104167,55.81700295,0.7163,5.458054024,0.011344477,-0.318778972,-0.184276347,189.2396556,8.7527,461809,90465,371344,286672,101702,988,26389,2146,11,16307,55861,42696,69837.6235512086,313813.623551209,0.0571426715373672,0.0353111351229621,0.67953119915638,0.620758798550916,461809,90465,371344,17977,10004,4,5519,4,405,4072,5924,4379.46837703046,16432.4683770305,0.0119508281562291,0.00087698594007479,0.0355828240182207,0.0389273487524063,461809,90465,371344,413,41,14,0,26,1,40,100.613029966823,473.613029966823,3.03155633606101e-05,5.63003319554188e-05,0.00102556041559784,0.00089430911913799,461809,90465,371344,13777,1142,137,8,997,0,502,486,1125,3356.28502143565,16008.2850214356,0.00029665944145739,0.00105238312808975,0.00108702948621616,0.0346642984901456,461809,90465,371344,18347,2447,2188,50,157,52,2345,4469.60595835667,20471.6059583567,0.00473788947378678,0.00033996738911541,0.0443291619660004,0.0397285457840796,461809,90465,371344,591,0.0015915162221552,143.97651503727,0.00127974985329433,0.00031176636886087,461809,90465,371344,33567,0.0903932741608859,8177.42754696454,0.0726858939518286,0.0177073802090573,240605.2963,198.25,120302.64815,75.7258519366708,314951.887443711,0.000314951887443711,2.123434838223,0.000148321898922634,0.00654694494913566,4.68957666706587e-05,8.47550955193465e-06,5.23741461455145e-06,0.000100789357836049,1.77256952582998e-06,1.30076219960344e-07,5.2777120274124e-06,4.49646192455512e-09,8.35057214560237e-09,1.52113068301357e-07,4.4001091690288e-08,1.56091463952413e-07,1.61230277580476e-07,5.14147457687939e-06,7.02732763637614e-07,5.04246087253676e-08,6.57498548044618e-06,1.89814928386577e-07,4.62417798496586e-08,1.07809098158244e-05,2.62639225755245e-06
1,15.9,"Ilirney Lake (EN18208)","Ilirney Lake","JK099L-1","ESH122",172.5,0.276,4.4,72.7,308,363.14,13,2,325,2.545,0.70659,51.79855527,0.5071,4.368518762,0.010083603,-0.167130634,-0.053839969,196,8.2158,464145,57275,406870,350230,138939,1697,32551,5319,17,20733,78622,53284,49301.7997148966,346247.799714897,0.0701311012722317,0.0446692305206347,0.745990584224535,0.754570231285482,464145,57275,406870,16677,8960,0,2798,12,336,5814,3134,2347.61760513186,15890.6176051319,0.00602828857361385,0.00072391170862553,0.034236321850137,0.0359305820379407,464145,57275,406870,425,49,18,2,28,1,46,59.8271560940841,438.827156094084,3.87809843906538e-05,6.03259757187948e-05,0.00094545272725998,0.00091566213144599,464145,57275,406870,18012,1314,298,13,1001,2,252,739,1289,2535.54526015681,19258.5452601568,0.0006420407415786,0.00159217485914962,0.00054293378146915,0.0414925190622689,464145,57275,406870,9604,1849,1507,33,274,35,1781,1351.95295794726,9174.95295794726,0.00324683019315085,0.00059033276239106,0.0197674281915075,0.0206918096715466,464145,57275,406870,1596,0.00392262884950967,224.668567355666,0.0034385806159713,0.00048404823353836,464145,57275,406870,10326,0.0253791137218276,1453.58873841768,0.0222473580454384,0.00313175567638922,363140,200.2,181570,263.405797101449,138001.192077029,0.000138001192077029,1.2267267683785,0.000112495459978786,0.00712497304377,3.61307383049577e-05,7.88943049643852e-06,5.02508563431722e-06,8.39205539121823e-05,6.78155095973549e-07,8.14367806458578e-08,3.85143077451292e-06,4.36268467745672e-09,6.78639838715489e-09,1.06359139441309e-07,7.22266685490054e-08,1.79112443146695e-07,6.10775854843937e-08,4.66772001758848e-06,3.65253656051515e-07,6.64097556457296e-08,2.22374592700126e-06,3.86824708067828e-07,5.44532286838166e-08,2.50272677663434e-06,3.52308295356579e-07
1,19.9,"Ilirney Lake (EN18208)","Ilirney Lake","JK098L-3","ESH082",198.5,0.29311621,3.96,126,294,659.34,13,2,325,3.703,0.76091,46.99925934,0.09,1,0.008139706,0.126791629,0.260957383,195.2271136,8.6139,317338,33349,283989,211988,90344,630,24680,5557,13,12605,46859,37285,24893.8790305258,199596.879030526,0.0777719655383219,0.0397210545223074,0.628972512055051,0.668019587947236,317338,33349,283989,54854,38872,2,30742,171,1298,6659,32040,6441.53839057147,29255.5383905715,0.0968746257933182,0.00409027598333638,0.0921904669172033,0.17285670168716,317338,33349,283989,146,23,9,1,13,0,22,17.144868287152,141.144868287152,2.83609274653524e-05,4.09657841166201e-05,0.0004447777079554,0.00046007726777127,317338,33349,283989,6764,486,106,25,355,0,220,133,459,794.300610234903,7099.3006102349,0.00033402870125859,0.00041911148365465,0.00069326711581972,0.0223714166290671,317338,33349,283989,6785,1003,757,15,212,19,969,796.76665293374,6612.76665293374,0.00238546912125242,0.00066805740251719,0.0208382439321283,0.0213809880947129,317338,33349,283989,122,0.00042959410399698,14.3265337741955,0.00038444812786366,4.51459761333199e-05,317338,33349,283989,3330,0.0117258062812292,391.043913672713,0.0104935431621804,0.00123226311904881,659340,191.1,329670,429.863636678436,146557.958441895,0.000146557958441895,1.9626174266398,7.46747463120294e-05,0.00619358369246,5.574225323214e-06,5.80760179676208e-06,2.96615966969959e-06,4.69683627749508e-05,7.23408810518881e-06,3.05440321401831e-07,6.88429972942969e-06,2.11784506364906e-09,3.05910953638197e-09,3.32136625068154e-08,2.49435085274219e-08,3.12970437183692e-08,5.17695460003099e-08,1.6705798614163e-06,1.78134301464704e-07,4.98870170548445e-08,1.55609057921987e-06,2.87085664183534e-08,3.3712643147646e-09,7.83602673550152e-07,9.201893580464e-08
1,2.9,"Ilirney Lake (EN18208)","Ilirney Lake","JK097L-4","ESH088",23,0.995558845,13.45,18.35,272,103.7895928,13,2,325,1.886,0.429950833,66.60698236,1.25615,8.824182289,0.016187376,-0.331533288,-0.351647844,233.0411136,13.47956667,315444,49293,266151,213392,96049,1276,27306,2197,6,10042,55222,37348,39521.6694883731,215565.669488373,0.0865637006885533,0.031834493602668,0.683372229265331,0.676481403989298,315444,49293,266151,10847,8193,2,2523,19,75,5574,2598,2008.93917738427,10257.9391773843,0.00799825008559364,0.00023776010955985,0.03251904990231,0.0343864521119438,315444,49293,266151,411,46,12,3,31,0,43,76.1200333645186,444.120033364519,3.80416175295774e-05,9.82741786180748e-05,0.00140792037053968,0.00130292540038802,315444,49293,266151,24378,1399,120,11,1268,0,320,939,1379,4514.97365781079,27513.9736578108,0.00038041617529577,0.00297675657168943,0.00101444313412206,0.0872230052174421,315444,49293,266151,7848,1066,940,32,73,21,1013,1453.50370278526,8288.50370278526,0.00297992670648356,0.00023141983997159,0.0262756739794869,0.0248792178643436,315444,49293,266151,314,0.00117978140228667,58.1549646629169,0.00099542232535727,0.00018435907692939,315444,49293,266151,8961,0.0336688571525187,1659.6389756191,0.0284075778902119,0.00526127926230679,103789.5928,176.8,51894.7964,18.4318587416096,497779.422690974,0.000497779422690974,0.6297923126904,0.000790386628513323,0.00695977579528421,8.74252236524626e-05,6.84187915388621e-05,2.51615580690417e-05,0.000540128272308659,6.32170991915876e-06,1.87922411389968e-07,2.57026222147433e-05,3.0067585822396e-08,7.76745967078563e-08,1.11280143488609e-06,3.00675858223957e-07,2.35278859060249e-06,8.01802288597224e-07,6.89398970226141e-05,2.35529422275435e-06,1.82911147086238e-07,2.07679413685619e-05,7.86768495686025e-07,1.45714949250049e-07,2.24529697128742e-05,4.15844477780173e-06
1,28,"Ilirney Lake (EN18208)","Ilirney Lake","JK098L-2","ESH067",367.5,0.182457439,2.465,79.4,280,436.26,13,2,325,3.377,1.226423333,33.227913,0.09,1,0.122938331,0.307876828,0.24993513,187.8825381,8.0633,890528,46298,844230,732139,243072,719,70653,46297,11,13550,111842,84203,40150.8728924582,688086.872892458,0.0793383251284631,0.0152156922634662,0.772672923133757,0.822140348197923,890528,46298,844230,9603,6334,10,3321,7,1593,1403,4914,526.63337479123,5215.63337479123,0.00372924826619713,0.00178882640411082,0.00585678763024995,0.0107834902439901,890528,46298,844230,331,23,11,0,12,0,23,18.1522073368632,326.152207336863,1.23522225017069e-05,1.34751518200438e-05,0.00036624587585888,0.00037168960436954,890528,46298,844230,84925,1652,122,64,1465,1,896,555,1573,4657.32993378582,88009.3299337858,0.00013699737683711,0.00062322577167702,0.00100614466922994,0.0988282568698411,890528,46298,844230,9812,406,352,26,23,5,375,538.095040451062,9975.09504045106,0.00039527112005461,2.58273743217507e-05,0.0112013266741204,0.0110181824715225,890528,46298,844230,1868,0.00221266716416143,102.442064366346,0.00209763196665349,0.00011503519750793,890528,46298,844230,5552,0.00657640690333203,304.474486810466,0.00623450357540695,0.00034190332792508,436260,182,218130,435.169979558904,91227.938196105,9.1227938196105e-05,2.25489337799,4.04577613676019e-05,0.150774437658477,0.00013569699389263,3.20985102535257e-06,6.15592846638181e-07,3.12606167393529e-05,1.50877036434346e-07,7.23719117855809e-08,2.36952516325375e-07,4.9974327033358e-10,5.45174476727538e-10,1.48174882473669e-08,5.54260718006322e-09,2.52143195486484e-08,4.07063609289896e-08,3.99837003281609e-06,1.59917846506741e-08,1.04491774706112e-09,4.53180601582116e-07,8.48654935439203e-08,4.65406656965078e-09,2.52234057899275e-07,1.38326432519818e-08
1,31,"Ilirney Lake (EN18208)","Ilirney Lake","JK099L-2","ESH129",750,0.009,1.7,78.3,269,447.81,13,2,325,3.7,0.92118,49.92231053,0.3845,4.272113368,0.134844098,0.002928666,0.390886595,179.6152333,7.8529,780080,53130,726950,644679,254544,2038,71825,10943,29,24455,145254,96280,47117.1267212325,595516.126721233,0.0920738898574505,0.03134934878474,0.763403915907641,0.826426776740847,780080,53130,726950,61328,22947,0,2528,32,2397,17990,4925,4482.22936928262,60885.2293692826,0.00324069326222951,0.00307276176802379,0.0780499812445937,0.0786175776843401,780080,53130,726950,591,47,14,2,31,0,45,43.1939335580164,589.193933558016,1.79468772433597e-05,3.97395138960107e-05,0.0007552993712927,0.00075761460363039,780080,53130,726950,1264,229,44,7,178,0,93,78,215,92.38093403948,1141.38093403948,5.64044713362732e-05,9.99897446415752e-05,0.00011921854168803,0.0014631588222227,780080,53130,726950,4889,695,573,14,91,17,664,357.318343765046,4582.31834376505,0.00073454004717464,0.00011665470208183,0.0058741646289676,0.00626730591734181,780080,53130,726950,60,8.25366256276223e-05,4.38517091959557,7.69151881858271e-05,5.62143744179516e-06,780080,53130,726950,14139,0.0194497558291492,1033.3655272027,0.0181250640959902,0.00132469173315903,447810,174.85,223905,8700,4499.97577586207,4.49997577586207e-06,1.85287451039,2.4286457343055e-06,0.12421568619564,0.000477609313422236,2.23614859843212e-07,7.61364621993142e-08,1.85403766392121e-06,7.87049586750628e-09,7.46264976044801e-09,1.89555754012307e-07,4.358660686119e-11,9.65132009069206e-11,1.83435459621364e-09,1.36986478706597e-10,2.42839666798058e-10,2.89539602720757e-10,3.55349443220262e-09,1.78393755224725e-09,2.83312944597716e-10,1.42662648687504e-08,1.86799743690814e-10,1.3652480063681e-11,4.40193596007404e-08,3.21720692700644e-09
