Number;Core;Lake;Library number;Extraction number;Age ;Depth;Concentration before Genejet;Concentration after Genejet;Library concentration;Average read length of sample;Total concentration;Concentration of pool;Dilution concentration before sequencing 2 ;Molecular weight nucleotide;DNA ;Dry Bulk Density;Water content ;TOC;C_N;Sediment Rate;PC1;PC2;Pann;TJul
6;Ulu Lake;Ulu Lake;WJ196L-15;EWJ218;30,33;362,5;0,009;;4,58;78;28,41191067;13;2;325;3,29;1,381604938;15,82624364;1,49035;6,638530067;0,033333333;0,286022769;-0,41851892;215,8873648;13,9652368
6;Ulu Lake;Ulu Lake;WJ195L-1;EWJ210;31,27;403,5;0,171;2,72;12;89;50,44136192;13;2;325;6,65;1,546783626;21,43031903;0,896014;1;0,055555556;0,315068302;0,021614577;259,7664181;13,80012588
6;Ulu Lake;Ulu Lake;WJ195L-5;EWJ209;34,43;580;0,135;2;2,16;75;15,31371854;13;2;325;5,92;1,833650794;13,88586166;0,866949;1;0,055555556;0,273461272;-0,121795548;209,8435676;15,04080972
6;Ulu Lake;Ulu Lake;WJ194L-2;EWJ197;36,52;701,5;0,31;10,1;7,52;83;34,33006163;13;2;325;2,44;1,816619183;11,18682945;1,044154;6,445395062;0,055555556;0,432786502;0,482959318;224,9578566;13,49182617
6;Ulu Lake;Ulu Lake;WJ194L-3;EWJ180;37,26;741,5;0,009;;3,46;79;19,93661769;13;2;325;4,19;1,882171137;12,66314418;0,812827;7,130061404;0,055555556;0,286005487;-0,134034078;255,572538;12,70096065
6;Ulu Lake;Ulu Lake;WJ194L-4;EWJ200;38;781,5;0,009;;5,3;70;37,06293706;13;2;325;5,31;1,948582375;14,91414696;0,92107;7,906180258;0,05;0,2638152;-0,180520289;266,5397662;12,75983713
6;Ulu Lake;Ulu Lake;WJ194L-5;EWJ193;38,76;822,5;0,114;;5,28;76;30,30998852;13;2;325;5,48;2,010555555;17,05367142;0,869624;7,307764706;0,05;0,284947933;-0,065505427;236,896373;14,30060231
6;Ulu Lake;Ulu Lake;WJ194L-6;EWJ195;39,53;862,5;0,009;;6,1;78;31,81225554;13;2;325;5,33;1,955;15,9496067;0,769748;7,366009569;0,055555556;0,288084482;-0,08619043;252,2199947;14,05346982
6;Ulu Lake;Ulu Lake;WJ192L-1;EWJ189;40,42;910,5;0,578;9,76;11,2;85;48,81237742;13;2;325;5,58;1,888333334;14,62472904;0,854491;7,430356522;0,055555556;0,243739385;-0,139495664;233,824047;14,34398497
6;Ulu Lake;Ulu Lake;WJ192L-3;EWJ185;42,01;1000;0,161;2,22;8,9;84;38,35380306;13;2;325;4,92;1,846666667;13,7966805;1,194472;8,750710623;0,055555556;0,237738486;-0,071297854;230,0573137;14,91805055
6;Ulu Lake;Ulu Lake;WJ192L-4;EWJ187;42,54;1040;0,009;;10,5;86;44,01592957;13;2;325;3,62;1,846666667;13,7966805;0,920571;6,552106762;0,0625;0,321107372;-0,125541636;211,947183;15,07927873
6;Ulu Lake;Ulu Lake;WJ192L-5;EWJ183;43,16;1080;0,009;;10,7;79;51,44230769;13;2;325;6,06;1,846666667;13,7966805;0,920571;7,970311688;0,055555556;0,282900064;-0,096706684;201,9356828;15,04935179
