species,bacdive_url,isolation_categories,pH_optimum,aquatic_samples,soil_samples,animal_samples,plant_samples,Total_Samples,total_n,r_terr,r_aqua,r_anim,r_plant,tas_score_raw,habitat_label,tas_score
Halococcus salsus,https://bacdive.dsmz.de/strain/159820,"#Environmental, #Terrestrial, #Geologic, #Condition, #Saline",7.5,277,13,8,2,300,300,0.04333333333333333,0.9233333333333332,0.02666666666666667,0.00666666666666666,-0.9103448266444708,Aquatic Specialist,-0.9103448266444708
Halorientalis brevis,https://bacdive.dsmz.de/strain/162236,NA,NA,199,77,16,8,300,300,0.25666666666666665,0.6633333333333333,0.05333333333333334,0.02666666666666667,-0.4420289850267802,Generalist / Mixed,-0.4420289850267802
Methanocella paludicola,https://bacdive.dsmz.de/strain/17667,"#Engineered, #Agriculture, #Field, #Environmental, #Terrestrial, #Soil, #Host, #Plants, #Herbaceous plants (Grass,Crops)",7,70,165,4,54,293,293,0.5631399317406144,0.2389078498293515,0.0136518771331058,0.18430034129692832,0.40425531864490727,Terrestrial Specialist,0.40425531864490727
Halorussus halophilus,https://bacdive.dsmz.de/strain/163753,NA,7,183,83,16,8,290,290,0.28620689655172415,0.6310344827586207,0.05517241379310345,0.02758620689655172,-0.3759398492142009,Generalist / Mixed,-0.3759398492142009
Methanobacterium subterraneum,https://bacdive.dsmz.de/strain/6943,"#Environmental, #Aquatic, #Groundwater",NA,222,32,13,20,287,287,0.11149825783972124,0.7735191637630662,0.04529616724738676,0.06968641114982578,-0.7480314952177755,Generalist / Mixed,-0.7480314952177755
Methanosarcina siciliae,https://bacdive.dsmz.de/strain/7083,"#Environmental, #Aquatic, #Lake (large), #Environmental, #Aquatic, #Sediment",NA,149,112,15,10,286,286,0.3916083916083916,0.5209790209790209,0.05244755244755245,0.03496503496503497,-0.14176245195193843,Generalist / Mixed,-0.14176245195193843
Halobaculum halophilum,https://bacdive.dsmz.de/strain/167287,NA,NA,59,144,12,2,217,217,0.663594470046083,0.271889400921659,0.05529953917050691,0.00921658986175115,0.41871921137506374,Generalist / Mixed,0.41871921137506374
Halomarina salina,https://bacdive.dsmz.de/strain/163694,NA,NA,120,81,10,3,214,214,0.37850467289719625,0.5607476635514018,0.04672897196261682,0.01401869158878504,-0.1940298505396896,Generalist / Mixed,-0.1940298505396896
Haloquadratum walsbyi,https://bacdive.dsmz.de/strain/5880,"#Environmental, #Aquatic, #Pond (small), #Condition, #Saline",NA,167,16,12,4,199,199,0.08040201005025126,0.8391959798994975,0.06030150753768844,0.02010050251256281,-0.8251366111245783,Aquatic Specialist,-0.8251366111245783
Methanoplanus endosymbiosus,https://bacdive.dsmz.de/strain/7041,"#Environmental, #Aquatic, #Marine, #Host, #Protozoa",NA,153,31,1,4,189,189,0.164021164021164,0.8095238095238095,0.00529100529100529,0.02116402116402116,-0.6630434775798087,Generalist / Mixed,-0.6630434775798087
Halogranum rubrum,https://bacdive.dsmz.de/strain/133561,"#Environmental, #Aquatic, #Marine, #Condition, #Saline, #Engineered, #Industrial, #Industrial production, #Environmental, #Terrestrial, #Coast",7.5,147,34,1,4,186,186,0.1827956989247312,0.7903225806451613,0.0053763440860215,0.02150537634408602,-0.6243093916236377,Generalist / Mixed,-0.6243093916236377
Halobellus clavatus,https://bacdive.dsmz.de/strain/161773,NA,NA,171,9,1,1,182,182,0.04945054945054945,0.9395604395604396,0.00549450549450549,0.00549450549450549,-0.89999999909,Aquatic Specialist,-0.89999999909
Natronorubrum bangense,https://bacdive.dsmz.de/strain/161009,NA,NA,149,20,3,1,173,173,0.11560693641618495,0.861271676300578,0.01734104046242774,0.00578034682080924,-0.7633136086860753,Generalist / Mixed,-0.7633136086860753
Methanohalophilus halophilus,https://bacdive.dsmz.de/strain/7064,"#Environmental, #Microbial community, #Microbial mat, #Host, #Microbial, #Bacteria",NA,111,51,2,1,165,165,0.3090909090909091,0.6727272727272727,0.01212121212121212,0.00606060606060606,-0.3703703699931413,Generalist / Mixed,-0.3703703699931413
Haladaptatus litoreus,https://bacdive.dsmz.de/strain/133566,"#Environmental, #Aquatic, #Marine, #Condition, #Saline, #Engineered, #Industrial, #Industrial production, #Environmental, #Terrestrial, #Coast",7,74,82,3,1,160,160,0.5125,0.4625,0.01875,0.00625,0.05128205122945424,Generalist / Mixed,0.05128205122945424
Halobacterium noricense,https://bacdive.dsmz.de/strain/5915,"#Environmental, #Terrestrial, #Geologic, #Condition, #Saline",NA,126,18,9,2,155,155,0.11612903225806452,0.8129032258064516,0.05806451612903226,0.01290322580645161,-0.7499999991927084,Generalist / Mixed,-0.7499999991927084
Methanofollis ethanolicus,https://bacdive.dsmz.de/strain/161569,NA,NA,70,30,4,14,118,118,0.2542372881355932,0.5932203389830508,0.03389830508474576,0.11864406779661016,-0.399999999528,Terrestrial Specialist,-0.399999999528
Halostella salina,https://bacdive.dsmz.de/strain/141067,"#Condition, #Saline, #Environmental, #Terrestrial",8,56,41,5,14,116,116,0.35344827586206895,0.4827586206896552,0.04310344827586207,0.1206896551724138,-0.15463917507280267,Terrestrial Specialist,-0.15463917507280267
Methanolobus zinderi,https://bacdive.dsmz.de/strain/7082,"#Engineered, #Other, #Mine, #Engineered, #Waste, #Coalbed water, #Environmental, #Aquatic, #Environmental, #Terrestrial, #Geologic",NA,76,20,1,3,100,100,0.2,0.76,0.01,0.03,-0.5833333327256945,Generalist / Mixed,-0.5833333327256945
Methanothermobacter wolfeii,https://bacdive.dsmz.de/strain/6894,"#Engineered, #Waste, #Sewage sludge, #Environmental, #Aquatic, #River (Creek), #Environmental, #Aquatic, #Sediment",NA,38,18,3,5,64,64,0.28125,0.59375,0.046875,0.078125,-0.35714285673469387,Generalist / Mixed,-0.35714285673469387
Haloferax larsenii,https://bacdive.dsmz.de/strain/24077,"#Condition, #Saline",6.5,21,8,1,1,31,31,0.25806451612903225,0.6774193548387096,0.03225806451612903,0.03225806451612903,-0.44827586158977406,Generalist / Mixed,-0.44827586158977406
Halohasta litchfieldiae,https://bacdive.dsmz.de/strain/24090,"#Environmental, #Aquatic, #Surface water",NA,120,84,NA,NA,NA,204,0.4117647058823529,0.5882352941176471,0,0,-0.17647058805882354,Generalist / Mixed,-0.17647058805882354
Halorubrum lacusprofundi,https://bacdive.dsmz.de/strain/5940,"#Environmental, #Aquatic, #Sediment",NA,60,10,NA,NA,NA,70,0.14285714285714285,0.8571428571428571,0,0,-0.7142857135714284,Generalist / Mixed,-0.7142857135714284
Halogranum amylolyticum,https://bacdive.dsmz.de/strain/161776,NA,NA,30,21,NA,NA,NA,51,0.4117647058823529,0.5882352941176471,0,0,-0.17647058805882354,Generalist / Mixed,-0.17647058805882354
Haladaptatus pallidirubidus,https://bacdive.dsmz.de/strain/162029,NA,NA,113,65,12,NA,NA,190,0.34210526315789475,0.5947368421052631,0.06315789473684211,0,-0.2696629210604721,Generalist / Mixed,-0.2696629210604721
Salinirubrum litoreum,https://bacdive.dsmz.de/strain/162277,NA,NA,213,56,NA,NA,NA,269,0.20817843866171004,0.79182156133829,0,0,-0.5836431220929368,Generalist / Mixed,-0.5836431220929368
Methanoculleus chikugoensis,https://bacdive.dsmz.de/strain/7029,"#Engineered, #Agriculture, #Field, #Environmental, #Terrestrial, #Soil, #Host, #Plants, #Herbaceous plants (Grass,Crops), #Condition, #Anoxic (anaerobic), #Condition, #Humid",NA,46,1,NA,1,NA,48,0.02083333333333333,0.9583333333333334,0,0.02083333333333333,-0.9574468075328202,Aquatic Specialist,-0.9574468075328202
Halobium salinum,https://bacdive.dsmz.de/strain/163690,NA,NA,426,92,54,NA,NA,572,0.16083916083916083,0.7447552447552448,0.0944055944055944,0,-0.6447876440756399,Generalist / Mixed,-0.6447876440756399
Thermococcus eurythermalis,https://bacdive.dsmz.de/strain/163749,NA,NA,25,2,NA,NA,NA,27,0.07407407407407407,0.925925925925926,0,0,-0.8518518509999999,Aquatic Specialist,-0.8518518509999999
Methanoculleus taiwanensis,https://bacdive.dsmz.de/strain/132944,"#Environmental, #Aquatic, #Sediment",NA,57,4,2,NA,NA,63,0.06349206349206349,0.9047619047619048,0.03174603174603174,0,-0.8688524581190541,Aquatic Specialist,-0.8688524581190541
