species,bacdive_url,isolation_categories,pH_optimum,aquatic_samples,soil_samples,animal_samples,plant_samples,Total_Samples,total_n,r_terr,r_aqua,r_anim,r_plant,tas_score_raw,habitat_label,tas_score
Halomicroarcula limicola,https://bacdive.dsmz.de/strain/162270,NA,NA,21,27,NA,NA,NA,48,0.5625,0.4375,0,0,0.124999999875,Generalist / Mixed,0.124999999875
Halogeometricum limi,https://bacdive.dsmz.de/strain/133594,"#Environmental, #Aquatic, #Marine, #Condition, #Saline, #Engineered, #Industrial, #Industrial production, #Environmental, #Terrestrial, #Coast",7,10,NA,NA,NA,NA,10,0,1,0,0,-0.999999999,Aquatic Specialist,-0.999999999
Halorussus salinus,https://bacdive.dsmz.de/strain/163692,NA,NA,4,18,NA,NA,NA,22,0.8181818181818182,0.18181818181818185,0,0,0.6363636357272727,Generalist / Mixed,0.6363636357272727
Halomicroarcula pellucida,https://bacdive.dsmz.de/strain/133995,"#Engineered, #Food production, #Food",7,16,22,NA,NA,NA,38,0.5789473684210527,0.42105263157894735,0,0,0.15789473668421056,Generalist / Mixed,0.15789473668421056
Methanococcoides methylutens,https://bacdive.dsmz.de/strain/7058,"#Environmental, #Aquatic, #Marine, #Environmental, #Aquatic, #Sediment",NA,53,2,NA,NA,NA,55,0.03636363636363636,0.9636363636363636,0,0,-0.9272727263454544,Aquatic Specialist,-0.9272727263454544
Sulfolobus acidocaldarius,https://bacdive.dsmz.de/strain/16649,"#Environmental, #Aquatic, #Thermal spring, #Condition, #Acidic, #Condition, #Thermophilic (>45°C)",NA,22,1,NA,NA,NA,23,0.04347826086956521,0.9565217391304348,0,0,-0.913043477347826,Aquatic Specialist,-0.913043477347826
Natrinema altunense,https://bacdive.dsmz.de/strain/161280,NA,NA,34,4,NA,1,NA,39,0.10256410256410256,0.8717948717948718,0,0.02564102564102564,-0.7894736834002771,Generalist / Mixed,-0.7894736834002771
Haloferax sulfurifontis,https://bacdive.dsmz.de/strain/5936,"#Environmental, #Aquatic, #Spring, #Environmental, #Microbial community, #Microbial mat, #Condition, #Sulfuric",NA,8,2,NA,NA,NA,10,0.2,0.8,0,0,-0.5999999994,Generalist / Mixed,-0.5999999994
Thermococcus kodakarensis,https://bacdive.dsmz.de/strain/161223,NA,NA,25,2,NA,NA,NA,27,0.07407407407407407,0.925925925925926,0,0,-0.8518518509999999,Aquatic Specialist,-0.8518518509999999
Halomicrobium mukohataei,https://bacdive.dsmz.de/strain/5875,"#Environmental, #Aquatic, #Lake (large)",7,10,3,NA,NA,NA,13,0.2307692307692308,0.7692307692307693,0,0,-0.5384615379230769,Generalist / Mixed,-0.5384615379230769
Acidianus brierleyi,https://bacdive.dsmz.de/strain/16640,"#Environmental, #Aquatic, #Thermal spring",NA,12,NA,NA,NA,NA,12,0,1,0,0,-0.999999999,Aquatic Specialist,-0.999999999
Natrinema thermotolerans,https://bacdive.dsmz.de/strain/5885,"#Engineered, #Food production, #Seafood, #Host, #Arthropoda, #Crustacea, #Engineered, #Food production, #Fermented",NA,5,6,1,NA,NA,12,0.5,0.4166666666666667,0.08333333333333333,0,0.09090909080991733,Generalist / Mixed,0.09090909080991733
Natrinema pallidum,https://bacdive.dsmz.de/strain/5889,"#Host, #Fishes, #Condition, #Saline",NA,34,4,NA,1,NA,39,0.10256410256410256,0.8717948717948718,0,0.02564102564102564,-0.7894736834002771,Generalist / Mixed,-0.7894736834002771
Haloarcula mannanilytica,https://bacdive.dsmz.de/strain/164675,NA,NA,11,13,2,NA,NA,26,0.5,0.4230769230769231,0.07692307692307693,0,0.08333333324305556,Generalist / Mixed,0.08333333324305556
Thermococcus stetteri,https://bacdive.dsmz.de/strain/16864,"#Environmental, #Aquatic, #Marine, #Environmental, #Terrestrial, #Volcanic",NA,25,2,NA,NA,NA,27,0.07407407407407407,0.925925925925926,0,0,-0.8518518509999999,Aquatic Specialist,-0.8518518509999999
Haloplanus salinarum,https://bacdive.dsmz.de/strain/158747,"#Engineered, #Other, #Mine, #Condition, #Saline",8,25,1,NA,NA,NA,26,0.03846153846153846,0.9615384615384616,0,0,-0.9230769221538462,Aquatic Specialist,-0.9230769221538462
Sulfurisphaera ohwakuensis,https://bacdive.dsmz.de/strain/16639,"#Environmental, #Aquatic, #Thermal spring, #Condition, #Thermophilic (>45°C)",NA,24,NA,1,NA,NA,25,0,0.96,0.04,0,-0.9999999989583334,Aquatic Specialist,-0.9999999989583334
Thermococcus nautili,https://bacdive.dsmz.de/strain/160706,NA,NA,25,2,NA,NA,NA,27,0.07407407407407407,0.925925925925926,0,0,-0.8518518509999999,Aquatic Specialist,-0.8518518509999999
Methanococcus vannielii,https://bacdive.dsmz.de/strain/6993,"#Environmental, #Aquatic, #Marine, #Environmental, #Terrestrial, #Mud (Sludge), #Environmental, #Aquatic, #Sediment",NA,101,3,2,NA,NA,106,0.02830188679245283,0.9528301886792452,0.01886792452830188,0,-0.9423076913472632,Aquatic Specialist,-0.9423076913472632
Staphylothermus hellenicus,https://bacdive.dsmz.de/strain/4203,"#Environmental, #Aquatic, #Marine, #Environmental, #Aquatic, #Sediment, #Condition, #Thermophilic (>45°C)",6,67,1,NA,NA,NA,68,0.01470588235294117,0.9852941176470588,0,0,-0.9705882343235296,Aquatic Specialist,-0.9705882343235296
Ignisphaera aggregans,https://bacdive.dsmz.de/strain/4192,"#Environmental, #Aquatic, #Thermal spring, #Condition, #Thermophilic (>45°C)",6.4,26,NA,NA,NA,NA,26,0,1,0,0,-0.999999999,Aquatic Specialist,-0.999999999
Halobellus ramosii,https://bacdive.dsmz.de/strain/134047,"#Condition, #Saline",8,25,8,NA,NA,NA,33,0.24242424242424243,0.7575757575757576,0,0,-0.51515151463636355,Generalist / Mixed,-0.51515151463636355
Metallosphaera sedula,https://bacdive.dsmz.de/strain/16645,"#Environmental, #Aquatic, #Pond (small), #Condition, #Thermophilic (>45°C)",NA,29,NA,1,NA,NA,30,0,0.9666666666666668,0.03333333333333333,0,-0.9999999989655172,Aquatic Specialist,-0.9999999989655172
